ID,model,target_language_name,topic,iteration,timestamp,target_language_sentence,batch_id,custom_id,model_suffix,Clarity / Readability,Naturalness / Colloquial / Context appropriateness,Formal Correctness,Critical Error,Comments (Optional),clarity_score,naturalness_score,correctness_score,has_critical_error
QL-9770-2,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,6,2025-11-27T12:30:24.319997,Rana ce mafi sauki da tsada a matsayin madadin makamashin wuta a ƙauyenmu.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-5,claude-3-5-sonnet-20241022-v2,3 - Somewhat difficult to read and understand,3 - Somewhat unnatural,3 - Somewhat flawed,No – No Critical Error (The output is a valid sentence in the target language),,3,3,3,0
WF-4808-2,bedrock-claude-3-5-sonnet,Hausa,Affordable and Clean Energy,40,2025-11-27T12:30:24.319984,Hasken rana ya fi sauki kuma ba ya ɓata muhalli.,arn:aws:bedrock:us-east-1:576316821197:model-invocation-job/68wnl0qnbzg2,Hausa-Affordable_and_Clean_Energy-39,claude-3-5-sonnet-20241022-v2,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0
SQ-0660-2,claude-haiku-4-5-20251001,Hausa,Affordable and Clean Energy,20,2025-11-25T21:28:36.917810,Wutsiya mai tsada da tsafta tana taimaka wa jama'a da bukatar matsa lamba.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Hausa-Affordable_and_Clean_Energy-19,claude-haiku-4-5-20251001,2 - Difficult to read and understand,2 - Unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,2,2,2,1
VL-5347-2,claude-haiku-4-5-20251001,Hausa,Affordable and Clean Energy,46,2025-11-25T21:28:36.918584,Enershin da ke da tsada kuma marar zaɓi shine abin da gwamnati ta yau ke aiki domin gida.,msgbatch_01MBb73G9mxiVUMWL3P9VTsj,Hausa-Affordable_and_Clean_Energy-45,claude-haiku-4-5-20251001,2 - Difficult to read and understand,2 - Unnatural,2 - Heavily flawed,"Yes – Critical Error Present (The output is nonsense, gibberish or in the wrong language)",,2,2,2,1
TX-3049-2,claude-opus-4-5-20251101,Hausa,Affordable and Clean Energy,21,2025-11-26T15:58:38.135634,Hasken rana yana taimaka wa mutane da yawa samun wutar lantarki mai araha a ƙauyukanmu.,msgbatch_01NL3nb5vXQueUNsjrWEvMoT,Hausa-Affordable_and_Clean_Energy-20,claude-opus-4-5-20251101,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0
DE-4211-2,claude-opus-4-5-20251101,Hausa,Affordable and Clean Energy,41,2025-11-26T15:58:38.136450,Makamashin hasken rana yana taimaka wa karkara samun wutar lantarki mai araha.,msgbatch_01NL3nb5vXQueUNsjrWEvMoT,Hausa-Affordable_and_Clean_Energy-40,claude-opus-4-5-20251101,7 - Extremely easy to read and understand (Perfectly clear),6 - Natural,7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,6,7,0
PU-6492-2,claude-sonnet-4-20250514,Hausa,Affordable and Clean Energy,29,2025-11-25T21:26:50.967537,Makamashi mai araha da tsabta zai taimaka wajen rage yawan gurɓataccen iska.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Hausa-Affordable_and_Clean_Energy-28,claude-sonnet-4-20250514,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0
PC-8981-2,claude-sonnet-4-20250514,Hausa,Affordable and Clean Energy,43,2025-11-25T21:26:50.967973,Makamashi mai arha da tsabta zai taimaka wajen rage yawan iskar carbon a duniya.,msgbatch_013YSRiW6Z3NCCKyVi3VcP99,Hausa-Affordable_and_Clean_Energy-42,claude-sonnet-4-20250514,6 - Easy to read and understand,6 - Natural,6 - Formally correct,No – No Critical Error (The output is a valid sentence in the target language),,6,6,6,0
VC-0220-2,claude-sonnet-4-5-20250929,Hausa,Affordable and Clean Energy,28,2025-11-25T21:28:29.790143,Makamashi mai araha da tsabta yana taimakawa wajen inganta rayuwar al'umma a ƙauyuka.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Hausa-Affordable_and_Clean_Energy-27,claude-sonnet-4-5-20250929,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0
WS-4053-2,claude-sonnet-4-5-20250929,Hausa,Affordable and Clean Energy,47,2025-11-25T21:28:29.790738,Makamashi mai araha da tsabta yana taimaka wajen inganta rayuwar al'umma.,msgbatch_01LxPYszDcgGguRrBkEREyjE,Hausa-Affordable_and_Clean_Energy-46,claude-sonnet-4-5-20250929,7 - Extremely easy to read and understand (Perfectly clear),7 - Extremely natural and colloquial (Native-speaker level),7 - Extremely correct (Academically perfect),No – No Critical Error (The output is a valid sentence in the target language),,7,7,7,0
